,Advert_No,Price,Room_Count,Meter_Square,Build_Age,Town,Neighbourhood
0,135948-12,                3600000                 ,6,275,20,Meram,Havzan
1,129953-61,                3360000                 ,5,220,5,Selçuklu,Sancak
2,125942-75,                1000000                 ,2,100,0,Ereğli,Atakent
3,125942-72,                1250000                 ,3,130,25,Ereğli,Aydınlar
4,103426-78,                3300000                 ,5,230,0,Selçuklu,Selçuk
5,125683-793,                2150000                 ,4,155,3,Selçuklu,SelahaddinEyyubi
6,125683-765,                1700000                 ,3,125,0,Selçuklu,Sancak
7,136689-5,                2925000                 ,5,190,5,Selçuklu,Hocacihan
8,0-40548801,                850000                 ,3,125,28,Beyşehir,Yeni
9,89673-1572,                1750000                 ,4,154,22,Selçuklu,Işıklar
10,84545-583,                1925000                 ,4,115,0,Meram,Uluırmak
11,127826-303,                2570000                 ,4,130,0,Selçuklu,SelahaddinEyyubi
12,129467-216,                1150000                 ,3,115,0,Karatay,Saraçoğlu
13,134423-282,                2080000                 ,4,130,1,Karatay,Hamzaoğlu
14,128140-133,                1050000                 ,4,140,13,Meram,Gödene
15,132760-109,                1350000                 ,4,140,4,Ereğli,HacıMustafa
16,123893-273,                2650000                 ,4,180,8,Selçuklu,Selçuk
17,125652-406,                2000000                 ,4,160,0,Selçuklu,Hanaybaşı
18,57307-483,                3450000                 ,5,220,1,Selçuklu,Kılınçarslan
19,130547-270,                750000                 ,4,170,30,Karatay,Hamzaoğlu
20,134877-36,                1250000                 ,4,140,0,Karatay,Selimsultan
21,135041-5,                1150000                 ,4,150,9,Beyşehir,Yeni
22,128440-52,                1750000                 ,4,165,0,Ereğli,Atakent
23,121431-269,                2000000                 ,4,143,0,Selçuklu,Akşemsettin
24,69350-1241,                3250000                 ,8,310,10,Meram,Çaybaşı
25,132006-19,                1700000                 ,4,200,0,Karatay,Hasandedemescit
26,92929-325,                1375000                 ,4,170,35,Selçuklu,MusallaBağları
27,15533-63,                1600000                 ,4,120,14,Selçuklu,BosnaHersek
28,112382-77,                4250000                 ,4,186,3,Selçuklu,Kılınçarslan
29,133420-49,                1560000                 ,4,155,5,Karatay,Hamzaoğlu
30,81846-1568,                2550000                 ,4,149,1,Selçuklu,Parsana
31,67536-483,                2500000                 ,5,200,15,Meram,Sahibiata
32,59548-740,                1350000                 ,4,170,28,Selçuklu,Akşemsettin
33,66538-1530,                1440000                 ,4,160,20,Karatay,Ulubatlıhasan
34,127826-302,                2600000                 ,4,160,8,Selçuklu,Kılınçarslan
35,134423-270,                1130000                 ,3,115,1,Karatay,Karaaslandede
36,128140-126,                1265000                 ,4,165,0,Karatay,Yediler
37,123893-272,                1950000                 ,4,170,6,Meram,Aydoğdu
38,125652-404,                6750000                 ,5,310,0,Selçuklu,SilleAk
39,132760-101,                1450000                 ,4,155,4,Ereğli,MehmetAkif
40,130897-40,                2750000                 ,5,200,6,Ereğli,Yenibağlar
41,110611-5,                1500000                 ,4,145,4,Karatay,Akabe
42,62802-1221,                1550000                 ,4,150,25,Selçuklu,Bedir
43,125683-795,                2000000                 ,4,155,0,Selçuklu,SelahaddinEyyubi
44,130547-290,                1200000                 ,4,170,15,Karatay,Fetih
45,134877-29,                1450000                 ,4,145,0,Karatay,HacıHasan
46,134423-255,                1350000                 ,4,125,0,Karatay,Karaaslandede
47,125652-400,                1650000                 ,4,155,0,Selçuklu,SelahaddinEyyubi
48,132760-92,                11999999                 ,4,165,10,Ereğli,Orhangazi
49,112660-614,                1645000                 ,4,150,2,Ereğli,BatıElagözlü
50,128842-374,                3820000                 ,5,200,5,Selçuklu,Yazır
51,125683-794,                2050000                 ,4,155,0,Selçuklu,SelahaddinEyyubi
52,123893-287,                1090000                 ,4,135,25,Selçuklu,ŞeyhŞamil
53,66538-1529,                1290000                 ,3,130,8,Karatay,Hacıyusufmescit
54,127826-284,                2500000                 ,4,150,6,Selçuklu,Şeker
55,134423-171,                1600000                 ,3,154,0,Karatay,Mengene
56,132760-81,                1650000                 ,4,150,20,Ereğli,Eti
57,128972-402,                2195000                 ,4,160,0,Selçuklu,Akşemsettin
58,65192-237,                800000                 ,3,120,25,Selçuklu,BosnaHersek
59,80269-1115,                4600000                 ,10,380,18,Selçuklu,Erenköy
60,115877-1,                4650000                 ,5,200,0,Ereğli,Hacımemiş
61,133438-54,                2500000                 ,5,225,10,Selçuklu,Beyhekim
62,132269-33,                2450                 ,4,130,10,Selçuklu,Buhara
63,82412-2022,                2875000                 ,8,340,11,Meram,Havzan
64,125683-806,                1850000                 ,4,175,3,Selçuklu,Yazır
65,127826-248,                1600000                 ,3,110,3,Selçuklu,Beyhekim
66,132760-74,                2250000                 ,4,150,0,Ereğli,MehmetAkif
67,121431-748,                1590000                 ,3,130,4,Selçuklu,SelahaddinEyyubi
